Date,Chelan,Clark,Columbia,Franklin,Grant,Grays Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Pierce,Skagit,Snohomish,Spokane,Thurston,Whatcom,Yakima,Unassigned
1/21,,,,,,,,,1,,,,,,,,,,,,,,
2/28,,,,,,,,,1,,,,,,,,,2,,,,,
2/29,,,,,,,,,4,,,,,,,,,2,,,,,
3/1,,,,,,,,,14,,,,,,,,,4,,,,,
3/2,,,,,,,,,14,,,,,,,,,4,,,,,
3/3,,,,,,,,,21,,,,,,,,,6,,,,,
3/4,,,,,,,,,31,,,,,,,,,8,,,,,
3/5,,,,,1,,,,51,,,,,,,,,18,,,,,
3/6,,,,,1,,,1,58,,,,,,,,,19,,,,,
3/7,,1,,,1,,,1,71,,,,,,,1,,27,,,,,
3/8,,1,,,1,,,1,83,,1,,,,,4,,31,1,,,,
3/9,,1,,,1,,,1,116,1,1,,,,,4,,37,0,,,,
3/10,,1,,,1,,,1,190,2,1,,,,,14,1,54,0,,,,2
3/11,,1,,,1,,1,1,234,2,2,,,,,17,1,68,0,1,1,,36
3/12,,1,,,1,1,3,1,270,2,3,,,,,18,2,108,0,1,1,,46
3/13,,1,1,,1,1,3,1,328,3,3,,,,,19,3,133,0,1,1,2,67
3/14,,3,1,,2,1,7,1,387,3,3,,,,,26,4,154,3,3,2,4,39
3/15,,3,1,,2,1,6,3,420,3,3,,,1,,29,4,176,3,3,3,4,104
3/16,,4,1,,3,1,7,3,488,7,3,,1,1,,38,7,200,3,4,3,4,126
3/17,,4,1,,7,1,14,3,569,7,3,,1,1,,45,9,254,4,5,6,5,70
3/18,2,4,1,1,8,1,16,4,562,9,4,1,1,1,1,56,14,310,4,6,7,7,167
