Date,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Franklin,Grant,Grays_Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Pierce,San_Juan,Skagit,Snohomish,Spokane,Stevens,Thurston,Walla_Walla,Whatcom,Yakima,Unassigned
2/28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2/29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
3/1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3/2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
3/3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
3/4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
3/5,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
3/6,0,0,0,0,0,0,0,1,0,0,1,58,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
3/7,0,0,0,1,0,0,0,1,0,0,1,71,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0
3/8,0,0,0,1,0,0,0,1,0,0,1,83,0,1,0,0,0,0,4,0,0,31,1,0,0,0,0,0,0
3/9,0,0,0,1,0,0,0,1,0,0,1,116,1,1,0,0,0,0,4,0,0,37,0,0,0,0,0,0,0
3/10,0,0,0,1,0,0,0,1,0,0,1,190,2,1,0,0,0,0,14,0,1,54,0,0,0,0,0,0,2
3/11,0,0,0,1,0,0,0,1,0,1,1,234,2,2,0,0,0,0,17,0,1,68,0,0,1,0,1,0,36
3/12,0,0,0,1,0,0,0,1,1,3,1,270,2,3,0,0,0,0,18,0,2,108,0,0,1,0,1,0,46
3/13,0,0,0,1,1,0,0,1,1,3,1,328,3,3,0,0,0,0,19,0,3,133,0,0,1,0,1,2,67
3/14,0,0,0,3,1,0,0,2,1,7,1,387,3,3,0,0,0,0,26,0,4,154,3,0,3,0,2,4,39
3/15,0,0,0,3,1,0,0,2,1,6,3,420,3,3,0,0,1,0,29,0,4,176,3,0,3,0,3,4,104
3/16,0,0,0,4,1,0,0,3,1,7,3,488,7,3,0,1,1,0,38,0,7,200,3,0,4,0,3,4,126
3/17,0,0,0,4,1,0,0,7,1,14,3,569,7,3,0,1,1,0,45,0,9,254,4,0,5,0,6,5,70
3/18,0,2,0,4,1,0,1,8,1,16,4,562,9,4,1,1,1,1,56,0,14,310,4,0,6,0,7,7,167
3/19,1,2,1,4,1,0,2,8,1,17,4,693,12,4,2,1,1,1,75,0,18,348,9,0,6,0,7,7,151
3/20,2,2,1,6,1,1,2,8,1,19,4,793,12,4,2,1,1,1,83,0,25,385,11,0,6,0,10,10,133
3/21,7,3,2,9,1,2,2,11,1,19,4,934,15,4,4,2,1,1,95,1,28,447,16,1,9,0,14,13,147
3/22,7,3,4,10,1,3,3,18,1,21,6,1040,18,4,4,2,1,1,107,1,33,480,20,1,11,1,14,16,165
