Date,King,Pierce,Snohomish,Yakima,Adams,Asotin,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Ferry,Franklin,Garfield,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Okanogan,Pacific,Pend_Oreille,San_Juan,Skagit,Skamania,Spokane,Stevens,Thurston,Wahkiakum,Walla_Walla,Whatcom,Whitman,Unassigned
28-Feb,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Feb,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Mar,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Mar,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Mar,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-Mar,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Mar,51,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Mar,58,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Mar,71,1,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Mar,83,4,31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14
9-Mar,116,4,37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Mar,190,16,54,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11-Mar,234,17,68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,36
12-Mar,270,17,108,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,46
13-Mar,328,19,133,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,67
14-Mar,388,26,154,4,0,0,0,0,0,3,1,0,0,0,0,0,2,1,7,1,3,3,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,2,0,39
15-Mar,420,29,176,4,0,0,0,0,0,3,1,0,0,0,0,0,2,1,6,3,3,3,0,0,1,0,0,0,0,0,4,0,3,0,3,0,0,3,0,104
16-Mar,488,38,200,4,0,0,0,0,0,4,1,0,0,0,0,0,3,1,7,3,7,3,0,1,1,0,0,0,0,0,7,0,3,0,4,0,0,3,0,126
17-Mar,518,45,254,5,0,0,0,2,0,4,1,0,0,0,0,0,7,1,14,3,7,3,1,1,1,0,0,0,0,0,9,0,4,0,5,0,0,6,0,70
18-Mar,562,56,310,7,0,0,0,2,0,4,1,0,0,0,1,0,8,1,16,4,9,4,1,1,1,1,0,0,0,0,14,0,4,0,6,0,0,7,0,167
19-Mar,693,75,348,7,0,0,1,2,1,4,1,0,0,0,2,0,8,1,17,4,12,4,2,1,1,1,0,0,0,0,18,0,9,0,6,0,0,7,0,151
20-Mar,793,83,385,10,0,0,2,2,1,6,1,1,0,0,2,0,8,1,19,4,12,4,2,1,1,1,0,0,0,0,25,0,11,0,6,0,0,10,0,133
21-Mar,934,95,447,13,0,0,7,3,2,9,1,2,0,0,2,0,11,1,19,4,15,4,4,2,1,1,0,0,0,1,28,0,16,1,9,0,0,14,0,147
22-Mar,1040,107,480,16,0,0,7,3,4,10,1,3,0,0,3,0,18,1,21,6,18,4,4,2,1,1,0,0,0,1,33,0,20,1,11,0,1,14,0,165
23-Mar,1170,126,519,25,1,0,7,6,4,13,1,3,1,0,3,0,23,1,25,7,18,5,4,2,1,1,0,0,0,1,45,0,29,1,11,0,1,48,2,117
24-Mar,1277,138,614,44,1,0,12,6,4,16,1,3,2,0,7,0,27,1,29,8,20,18,6,2,1,2,0,0,0,1,48,0,33,1,14,0,2,64,2,65
25-Mar,1359,155,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
26-Mar,1577,186,778,61,3,0,19,10,5,48,1,7,5,1,7,0,33,1,64,11,33,8,7,5,1,2,1,0,0,2,78,0,67,2,24,0,2,86,3,69
27-Mar,1828,231,913,72,5,0,42,13,5,76,1,7,5,1,12,0,42,1,79,11,42,8,7,7,1,2,2,0,0,3,91,1,86,3,27,0,2,92,5,45
