Date,Adams,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Franklin,Grant,Grays_Harbor,Island,Jefferson,King,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Pierce,San_Juan,Skagit,Snohomish,Spokane,Stevens,Thurston,Walla_Walla,Whatcom,Whitman,Yakima,Unassigned
2/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/9,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/10,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3/11,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3/12,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3/13,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3/14,0,0,0,0,0,0,0,0,0,1,0,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3/15,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3/16,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
3/17,0,0,0,0,2,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3/18,0,0,0,0,3,0,0,0,0,1,0,0,0,56,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3/19,0,1,0,0,3,0,0,0,0,1,0,1,0,60,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0
3/20,0,1,0,0,3,0,0,0,0,1,0,1,0,67,0,0,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0
3/21,0,2,0,0,3,0,0,0,0,1,0,1,0,74,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,0,0
3/22,0,2,0,0,3,0,0,0,0,1,0,1,0,75,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,0,0
3/23,0,2,0,0,4,0,0,0,0,1,0,1,0,87,0,0,0,0,0,0,1,0,1,11,0,0,0,0,2,0,0,0
