Date,King,Snohomish,Unassigned,Adams,Benton,Chelan,Clallam,Clark,Columbia,Cowlitz,Douglas,Franklin,Grant,Grays_Harbor,Island,Jefferson,Kitsap,Kittitas,Klickitat,Lewis,Lincoln,Mason,Pierce,San_Juan,Skagit,Spokane,Stevens,Thurston,Walla_Walla,Whatcom,Whitman,Yakima
2/28,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5,51,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6,58,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7,71,27,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/8,83,31,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0
3/9,116,37,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3/10,190,54,2,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0
3/11,234,68,36,0,0,0,0,1,0,0,0,0,1,0,1,1,2,2,0,0,0,0,17,0,1,0,0,1,0,1,0,0
3/12,270,108,46,0,0,0,0,1,0,0,0,0,1,1,3,1,2,3,0,0,0,0,18,0,2,0,0,1,0,1,0,0
3/13,328,133,67,0,0,0,0,1,1,0,0,0,1,1,3,1,3,3,0,0,0,0,19,0,3,0,0,1,0,1,0,2
3/14,387,154,39,0,0,0,0,3,1,0,0,0,2,1,7,1,3,3,0,0,0,0,26,0,4,3,0,3,0,2,0,4
3/15,420,176,104,0,0,0,0,3,1,0,0,0,2,1,6,3,3,3,0,0,1,0,29,0,4,3,0,3,0,3,0,4
3/16,488,200,126,0,0,0,0,4,1,0,0,0,3,1,7,3,7,3,0,1,1,0,38,0,7,3,0,4,0,3,0,4
3/17,569,254,70,0,0,0,0,4,1,0,0,0,7,1,14,3,7,3,0,1,1,0,45,0,9,4,0,5,0,6,0,5
3/18,562,310,167,0,0,2,0,4,1,0,0,1,8,1,16,4,9,4,1,1,1,1,56,0,14,4,0,6,0,7,0,7
3/19,693,348,151,0,1,2,1,4,1,0,0,2,8,1,17,4,12,4,2,1,1,1,75,0,18,9,0,6,0,7,0,7
3/20,793,385,133,0,2,2,1,6,1,1,0,2,8,1,19,4,12,4,2,1,1,1,83,0,25,11,0,6,0,10,0,10
3/21,934,447,147,0,7,3,2,9,1,2,0,2,11,1,19,4,15,4,4,2,1,1,95,1,28,16,1,9,0,14,0,13
3/22,1040,480,165,0,7,3,4,10,1,3,0,3,18,1,21,6,18,4,4,2,1,1,107,1,33,20,1,11,1,14,0,16
3/23,1170,519,117,1,7,6,4,13,1,3,1,3,23,1,25,7,18,5,4,2,1,1,126,1,45,29,1,11,1,48,2,25
